start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,LABEL
0 days,0 days 00:00:04.460000,27.339275,0.24470212,23.876263,26.38535,29.536963,5.6607,1047.4509,1539.7538,201.66936,308.1037,0.4339175,0.90863305,0.058193576,0.34471467,0.7256783,0.66748476,8.610681,4.8155427,5.9660535,5.79304,0.26093972,1.3018199,21.241405,0.8844154,12.791566,0.96198696,16.739212,0.8098272,8.7786455,1.235538,0.02520669,1.1734115,0.9417464,1.0557559,6.573207,0.550293,4.052387,3.0156744,31.105341,0.5121936,540.67084,0.29580724,1309.4344,0.20242904,-117.43182,-0.7557004,1607.0387,0.1807613,1014.7602,0.36371404,-123.783714,-0.6557831,2652.4602,0.119976036,980.5942,0.31592432,-124.77391,-0.629974,-23.953434,-0.47760126,34.2734,0.3795147,0.007581862,5.1799726,-0.024961524,-0.49879485,0.45529956,0.82006544,34.80383,0.45789012,18.015123,0.6798604,24.371181,0.5097873,8.474269,1.5534652,-7.5641084,16.375286,-0.016583141,-0.004766567,0.091737226,2.9213483,1.3636364,0.33666667,0.25862885,0.32142857,0.36509994,-27.593235,False
0 days,0 days 00:00:02.930000,23.37035,0.2753373,15.688095,26.344877,28.881973,13.193878,171.44893,113.241455,247.77815,233.14232,0.26652005,1.2595991,0.06846284,0.08299963,0.47694117,0.40847832,9.139018,4.966028,7.8252616,3.355018,0.2350118,1.5557243,25.87286,0.38951445,15.943545,0.53620225,14.652691,0.705506,8.343023,0.6972992,0.03857745,1.1442199,1.8869562,0.9055814,0.81553894,9.960012,-1.4711858,-19.817814,22.76396,1.449825,527.00494,0.3141669,1313.38,0.15137313,-139.29962,-0.54042417,1646.184,0.15598363,992.07635,0.38551995,-144.43808,-0.46956426,2658.672,0.0986049,930.0768,0.5661284,-145.16182,-0.46185744,-24.050203,-0.3098348,32.750095,0.27059537,-0.011296992,-3.4744694,-0.022978574,-0.59779555,0.5230008,0.90697956,30.925316,0.378817,19.58491,0.36024225,22.670446,0.5954767,7.6432214,1.0859853,-20.235592,31.5315,-0.04632647,-0.0117643615,0.08975491,2.3972604,3.4843206,0.08399999,0.070171215,0.15083332,0.1378682,-28.970718,False
0 days,0 days 00:00:06.940000,25.813622,0.13032831,24.342264,25.43617,27.781578,3.439314,155.91794,170.32904,86.22031,150.73488,0.4028784,0.79437643,0.076977156,0.34375283,0.68313956,0.6061624,6.4864197,4.6101665,5.5625086,4.1973577,0.22991224,1.1544663,24.32501,0.801397,12.568801,0.84622693,13.183432,1.0810657,5.347146,1.7937623,0.033436086,1.8781683,1.1104704,1.0913852,6.3693347,0.5636637,3.7736106,1.3531348,31.551788,0.23443869,498.66785,0.3022308,1383.4852,0.19137183,-107.52126,-0.84746146,1541.6877,0.16167161,1142.0765,0.2823349,-115.36408,-0.7046208,2583.1106,0.10963808,1057.4877,0.42247146,-118.76203,-0.65555555,-25.05361,-0.32511705,36.03196,0.2474834,0.009003583,3.576347,-0.026718823,-0.54457074,0.39150754,0.7026226,39.678265,0.28943598,15.985949,0.6303821,21.930779,0.62886816,6.517738,1.7764707,-7.261507,15.277128,-0.007814335,-0.006025015,0.06153088,3.1746032,1.3081396,0.38444442,0.1879782,0.32299998,0.34138098,-28.890884,False
0 days,0 days 00:00:03.960000,21.663624,0.2460656,14.910735,23.093573,25.816002,10.905267,147.89545,120.54991,109.79954,141.74034,0.30217332,1.0403234,0.06532966,0.09365036,0.600043,0.5347133,6.989803,3.4649978,5.6723976,2.4904163,0.19682196,1.2580489,29.942595,0.40065646,17.047459,0.5093503,15.039441,0.7264093,8.795775,1.2813369,0.038476147,1.5916946,1.3454788,0.9547499,1.101878,7.2515764,-5.191416,-7.6536007,20.262209,1.9013958,493.15906,0.30193812,1348.44,0.14110835,-103.42905,-0.78940976,1531.4362,0.13970526,1132.6711,0.32645604,-111.41096,-0.6674247,2570.567,0.10450109,987.8958,0.2769036,-114.80291,-0.6200144,-23.100348,-0.3427289,35.921577,0.2363138,-0.017337916,-1.7656618,-0.020895917,-0.58713007,0.31304243,0.9159372,35.63901,0.34484765,16.645233,0.5884617,17.274874,0.8028637,6.503304,2.146842,-20.975752,31.557093,-0.040627886,-0.01293749,0.07206908,3.0379748,2.5706942,0.177,0.2903119,0.11666667,0.08080153,-31.146742,False
0 days,0 days 00:00:04.170000,28.3963,0.086014315,26.935413,27.988195,30.295597,3.3601837,70.31432,38.378178,10.827829,21.078438,0.3370935,1.0311044,0.04922374,0.19190118,0.6065422,0.5573185,5.2471237,4.319135,5.756283,3.0330806,0.21056673,1.694388,16.649052,1.0599712,9.428849,1.0787171,10.030008,1.1429907,5.28454,1.6822991,0.025934637,0.63705415,0.8852271,0.87396944,6.9573197,0.39203322,3.2335496,2.007229,33.541054,0.27872643,558.5282,0.30018497,1306.9437,0.19189,-157.25735,-0.48505068,1607.2377,0.123306446,1136.4458,0.3803474,-161.07635,-0.42404577,2666.7703,0.090094484,917.94476,0.2720099,-162.51299,-0.40466937,-24.000921,-0.4429437,34.230183,0.3887673,0.036527116,0.915328,-0.024175396,-0.6087522,0.6428435,0.7072955,37.64177,0.38023248,17.026173,0.5960633,21.215754,0.511747,11.726225,0.6701068,-6.6800942,14.132281,-0.003145264,-0.0067505,0.07585251,1.923077,1.216545,0.19,0.05761944,0.5083333,0.508934,-29.057524,False
0 days,0 days 00:00:04.190000,21.793139,0.26150593,14.478267,24.379593,27.054583,12.576316,399.84915,420.91907,53.11075,29.409555,0.31196696,1.231759,0.067589045,0.082482636,0.5635226,0.49593353,6.8779263,3.75467,7.5587373,6.549793,0.24251531,1.4348154,30.321941,0.36738405,16.70043,0.55185264,14.3978405,0.77719134,8.54659,1.2129774,0.045196872,2.0492315,1.2953128,0.92712027,-0.21753661,-43.507305,-4.3489985,-8.83067,22.114882,1.7878741,512.4107,0.33064294,1364.9259,0.15498362,-112.92355,-0.68981564,1581.2997,0.16452046,1099.2501,0.32001856,-120.68536,-0.58604354,2607.282,0.11135495,1071.5177,0.28993464,-123.66632,-0.5483853,-23.57424,-0.35530072,34.761356,0.270356,-0.0108416,-3.3249378,-0.022562897,-0.648002,0.42946607,1.0072877,36.226093,0.34010357,15.983085,0.7018866,18.703339,0.77485114,7.534663,1.898266,-22.193615,33.21914,-0.045320302,-0.01418066,0.0770923,2.3923447,2.1844661,0.17777778,0.17567506,0.125625,0.08978925,-29.079172,False
0 days,0 days 00:00:04.250000,37.03864,0.08673234,32.95415,37.418285,39.085724,6.1315727,27.38856,11.543861,0.71561813,29.565304,0.19196405,1.7002344,0.028559975,0.029756397,0.312751,0.284191,5.223331,3.0411992,6.219583,3.194328,0.07141399,1.9159218,19.000122,0.4132164,12.907379,1.3065454,10.073681,1.0238104,2.408798,5.461746,0.014277386,0.9410578,0.9552202,1.2628646,9.629831,0.49760476,5.1569586,1.9943649,18.076426,0.49383277,518.1881,0.286646,1177.8282,0.11357495,-161.04565,-0.4779423,1553.0929,0.15711297,899.69775,0.4240452,-154.91756,-0.51072556,2580.5562,0.095885426,970.14905,0.5264591,-156.98335,-0.47991914,-14.0154,-0.7101698,25.827108,0.3142298,0.08619341,0.33604914,-0.015004968,-1.0507398,0.23933077,0.7517175,30.719374,0.20219786,-7.912172,-2.5946763,4.4131126,4.073198,-12.410414,-1.3812624,-17.184872,26.358936,-0.0072209425,-0.011494754,0.016260032,1.4150944,0.47846892,0.515,0.295,1.0333333,0.68781453,-39.169987,False
0 days,0 days 00:00:05.430000,24.36457,0.25043717,17.832401,25.97905,28.638031,10.80563,558.7217,1116.1062,265.1325,283.7898,0.35437033,1.1068698,0.04303767,0.15232225,0.6906336,0.64759594,9.627895,4.051659,9.496369,4.5398793,0.245095,1.4859781,20.043669,0.8766574,12.719244,0.8906512,6.206173,2.3709295,6.9645367,1.6022425,0.04456669,1.6158291,1.4667175,0.8349883,1.2306278,4.8392415,7.6568804,4.4715676,27.02314,0.96090186,569.1263,0.38009852,1314.8745,0.17064634,-133.53786,-0.64493424,1584.182,0.1773916,1075.1127,0.3826543,-138.87651,-0.56999207,2586.4456,0.12499165,947.69147,0.24766947,-141.55688,-0.5332561,-19.914593,-0.38757232,31.06028,0.26169682,0.009352466,4.9084163,-0.024530359,-0.730497,0.5072269,0.8800012,34.49534,0.43584776,14.501944,0.63568443,9.742142,2.1229146,5.3964515,2.9029148,-10.641013,19.595861,-0.010951628,-0.006440061,0.10269938,3.3210332,2.793296,0.118,0.10303398,0.25076923,0.3410721,-30.67618,True
0 days,0 days 00:00:03.240000,32.367336,0.22175717,25.788343,34.70435,38.945442,13.157099,128.74007,47.673756,134.09764,116.59183,0.14945792,0.90284413,0.03604616,0.078845315,0.2534094,0.21736322,3.4498136,2.1692762,2.6754658,1.8242286,0.07924612,1.3492706,27.236485,0.43939304,16.343912,0.5614771,9.921859,1.0578399,1.0239366,12.41105,0.055969905,1.662693,1.1804472,1.0138408,7.463146,0.906938,4.7239966,6.12991,27.946651,1.0260104,638.12537,0.27000523,1324.3889,0.16222295,-129.2793,-0.6762093,1718.5748,0.16560303,1057.867,0.35053015,-128.42896,-0.62605155,2818.2664,0.08258481,827.9063,0.39245704,-131.43361,-0.5853786,-26.624132,-0.29578552,38.48738,0.25518706,0.03538182,0.7753035,-0.028332677,-0.41057965,0.15507235,0.8065545,37.50834,0.22102743,17.14361,0.59510803,14.502161,0.7573951,-7.047257,-2.0939057,-17.059225,27.422745,-0.020246498,-0.0104540475,0.02191223,3.7151701,1.2618297,0.34,0.23119256,0.344,0.21058016,-39.9913,False
0 days,0 days 00:00:03.450000,23.382227,0.26327008,16.390182,23.041334,28.879942,12.489759,130.5341,147.87074,161.7687,159.89752,0.2410725,1.2264334,0.05233474,0.07370266,0.45030653,0.3979718,5.567239,3.310117,7.258989,5.4032955,0.19976728,1.5665255,32.193985,0.4002214,17.445147,0.6196676,15.876299,0.47146615,11.714602,0.9059279,0.06515339,1.2913102,1.8761675,0.82617545,1.039265,7.2173996,8.437109,4.5054727,28.516516,0.86201024,561.5977,0.3538711,1383.433,0.15057722,-114.68088,-0.70999527,1626.5073,0.19900568,1126.8126,0.26892248,-121.497284,-0.60615486,2655.3364,0.11130386,974.1436,0.39852577,-124.15443,-0.57214665,-24.958092,-0.31387788,34.8461,0.23422252,-0.008212,-5.439149,-0.023371099,-0.786222,0.36718944,1.0759321,39.863586,0.3023821,15.033625,0.72557867,18.778816,0.48411676,8.697935,1.6369277,-24.025627,34.194344,-0.06250528,-0.012052502,0.055584528,2.3255816,2.071006,0.18428572,0.2484154,0.11266666,0.11555469,-30.653862,False
